city,temperature,humidity,rainfall,wind_speed,aqi,population_millions,avg_income_lakh,region
Mumbai,32,85,2166,18,142,20.7,8.2,West
Delhi,35,60,714,12,312,32.9,7.8,North
Bangalore,28,70,971,14,98,13.2,12.4,South
Chennai,34,78,1400,16,118,10.9,7.1,South
Hyderabad,33,65,812,11,124,10.5,9.3,South
Kolkata,31,80,1582,13,198,14.9,5.6,East
Pune,30,72,722,15,87,6.6,10.2,West
Ahmedabad,36,55,782,17,176,8.4,8.9,West
Surat,37,58,1150,19,162,7.2,9.1,West
Jaipur,38,45,544,20,234,3.9,6.7,North
Lucknow,34,63,820,10,267,3.6,5.4,North
Kanpur,36,61,740,9,289,3.1,4.9,North
Nagpur,34,66,1054,13,112,2.9,6.8,West
Indore,33,62,910,14,134,2.2,7.3,West
Thane,31,84,2100,17,138,2.1,8.0,West
Bhopal,33,67,1050,12,108,1.9,6.5,Central
Visakhapatnam,30,76,1067,21,96,2.0,7.4,South
Pimpri,30,72,700,15,85,2.1,10.8,West
Patna,36,72,1025,8,298,2.5,4.2,East
Vadodara,35,57,920,16,144,2.1,8.3,West
Ghaziabad,35,63,750,11,305,1.8,6.9,North
Ludhiana,36,56,710,13,198,1.6,8.1,North
Agra,37,58,690,12,221,1.8,5.3,North
Nashik,30,68,870,16,92,1.5,7.6,West
Faridabad,35,62,730,11,312,1.4,7.0,North
Meerut,35,65,760,10,278,1.4,5.8,North
Rajkot,37,54,640,18,152,1.3,8.4,West
Kalyan,32,83,2050,16,131,1.2,7.5,West
Vasai,32,83,2100,17,128,1.2,7.4,West
Varanasi,35,71,980,9,243,1.4,4.6,East
Srinagar,20,68,645,15,62,1.2,5.1,North
Aurangabad,32,63,670,14,118,1.2,6.9,West
Dhanbad,33,75,1180,11,287,1.2,4.1,East
Amritsar,36,58,720,13,175,1.1,7.2,North
Navi Mumbai,31,82,2080,18,120,1.1,9.4,West
Allahabad,36,69,870,10,261,1.2,4.8,North
Ranchi,28,74,1298,12,132,1.1,5.3,East
Howrah,31,81,1582,12,212,1.1,4.9,East
Coimbatore,29,73,625,15,88,2.1,8.7,South
Jabalpur,34,67,1120,12,109,1.3,5.7,Central
Gwalior,36,58,790,13,196,1.1,5.9,Central
Vijayawada,33,74,1014,17,131,1.0,7.8,South
Jodhpur,38,43,360,22,168,1.0,6.2,North
Madurai,33,77,840,14,112,1.5,6.9,South
Raipur,34,70,1320,11,127,1.2,5.8,Central
Kota,37,52,600,15,188,1.0,6.4,North
