team,matches,wins,losses,points,nrr,titles,avg_score,economy_rate,win_pct
Mumbai Indians,224,130,94,260,0.421,5,168.3,8.2,58.0
Chennai Super Kings,220,128,92,256,0.312,5,162.7,8.5,58.2
Royal Challengers,224,104,120,208,-0.145,0,171.2,9.1,46.4
Kolkata Knight Riders,224,112,112,224,0.287,3,158.4,8.7,50.0
Delhi Capitals,224,101,123,202,-0.231,0,155.6,8.9,45.1
Punjab Kings,224,96,128,192,-0.412,0,161.3,9.3,42.9
Rajasthan Royals,202,98,104,196,0.156,2,163.8,8.6,48.5
Sunrisers Hyderabad,178,93,85,186,-0.532,1,149.2,8.4,52.2
Gujarat Titans,62,40,22,80,0.784,2,172.4,8.0,64.5
Lucknow Super Giants,62,36,26,72,0.112,0,165.7,8.8,58.1
Deccan Chargers,75,29,46,58,-0.623,1,148.3,8.9,38.7
Rising Pune Supergiant,30,16,14,32,0.201,0,158.9,8.7,53.3
Kochi Tuskers,14,6,8,12,-0.812,0,144.2,9.2,42.9
Pune Warriors,45,12,33,24,-1.042,0,141.6,9.4,26.7
