country,gdp_trillion,population_billions,life_expectancy,literacy_rate,hdi,infant_mortality,internet_users_pct,co2_per_capita,continent
United States,25.46,0.335,78.9,99.0,0.926,5.4,91.8,14.9,North America
China,17.96,1.412,77.1,96.8,0.768,6.8,73.7,8.0,Asia
Japan,4.23,0.125,84.3,99.0,0.919,1.7,93.0,8.7,Asia
Germany,4.07,0.084,80.6,99.0,0.942,3.1,91.6,8.1,Europe
India,3.39,1.417,70.2,77.7,0.633,25.5,46.0,1.9,Asia
United Kingdom,3.07,0.068,81.3,99.0,0.929,3.7,94.8,5.3,Europe
France,2.78,0.068,82.3,99.0,0.903,3.4,85.6,4.7,Europe
Canada,2.14,0.038,82.3,99.0,0.936,4.5,92.7,14.2,North America
Italy,1.99,0.060,82.9,99.2,0.895,2.7,74.9,5.3,Europe
South Korea,1.67,0.052,83.5,99.0,0.929,2.5,96.5,11.6,Asia
Russia,1.83,0.144,72.6,99.7,0.822,5.9,88.0,11.8,Europe
Brazil,1.92,0.215,75.9,93.2,0.754,13.5,74.0,2.3,South America
Australia,1.70,0.026,83.4,99.0,0.951,3.3,91.0,14.8,Oceania
Spain,1.42,0.047,83.6,98.4,0.905,2.7,94.5,5.5,Europe
Mexico,1.27,0.130,75.0,95.2,0.758,12.4,72.0,3.7,North America
Indonesia,1.32,0.277,71.7,96.0,0.705,21.1,53.7,2.3,Asia
Netherlands,1.01,0.018,82.3,99.0,0.941,3.5,93.2,9.3,Europe
Saudi Arabia,0.88,0.035,75.8,97.6,0.875,6.1,93.3,18.2,Asia
Argentina,0.63,0.045,76.7,99.1,0.842,9.4,74.3,4.5,South America
Sweden,0.58,0.010,82.8,99.0,0.947,2.2,95.0,3.8,Europe
Switzerland,0.80,0.009,83.8,99.0,0.962,3.6,92.4,4.3,Europe
Poland,0.69,0.038,77.8,99.8,0.876,4.5,81.3,8.0,Europe
Belgium,0.59,0.011,82.0,99.0,0.937,4.5,91.5,8.0,Europe
Norway,0.55,0.005,83.2,99.0,0.961,1.7,97.3,7.5,Europe
Austria,0.48,0.009,81.6,98.0,0.916,3.4,88.1,6.7,Europe
Nigeria,0.44,0.218,55.8,62.0,0.535,67.4,36.0,0.6,Africa
South Africa,0.405,0.060,64.9,87.0,0.713,27.3,68.2,7.4,Africa
UAE,0.50,0.010,78.4,93.8,0.911,5.5,98.6,19.8,Asia
Egypt,0.39,0.104,72.4,71.2,0.731,17.2,72.2,2.2,Africa
Thailand,0.50,0.072,78.7,93.8,0.800,8.4,77.8,4.0,Asia
